window_ms,technique,reps,concurrent,race_rate_pct,mean_success,median_success,max_success
50,baseline,20,20,100.0,20,20.0,20
50,last-byte,20,20,100.0,20,20.0,20
50,single-packet,20,20,100.0,20,20.0,20
10,baseline,20,20,100.0,20,20.0,20
10,last-byte,20,20,100.0,20,20.0,20
10,single-packet,20,20,100.0,20,20.0,20
5,baseline,20,20,100.0,20,20.0,20
5,last-byte,20,20,100.0,20,20.0,20
5,single-packet,20,20,100.0,20,20.0,20
1,baseline,20,20,95.0,11,13.0,20
1,last-byte,20,20,100.0,18.6,20.0,20
1,single-packet,20,20,100.0,20,20.0,20
0,baseline,20,20,0.0,1,1.0,1
0,last-byte,20,20,10.0,1.1,1.0,2
0,single-packet,20,20,5.0,1.05,1.0,2
